"Acad Org","Class Nbr","Subj","CRS","Session","Cmp","Sctn","Days","Start Time","End Time","Mtg Start Date","Mtg End Date","Duration","Instruction Mode","Campus","Loctn","Building","Room","Instr","Status","Enrl Cap","Enrl Tot","Wait Cap","Wait Tot","Cmbnd ID","Cmbnd Descr","Cmbnd Enrl Tot","Cmbnd Enrl Cap"
"COMPSCI","95485","CSE"," 378","A","LEC",="01","MW","02:40 PM","04:00 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Ryoo","A","     60","      0","      0","      0"," "," "," "," "
"COMPSCI","91417","CSE"," 381","A","LEC",="01","TUTH","11:30 AM","12:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Richard McKenna","A","     60","      0","     10","      0"," "," "," "," "
"COMPSCI","91430","CSE"," 416","A","LEC",="01","TUTH","06:30 PM","07:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Robert Kelly","A","     80","      0","      7","      0"," "," "," "," "
"COMPSCI","91431","CSE"," 416","A","LEC",="02","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Richard McKenna","A","     80","      0","      7","      0"," "," "," "," "
"COMPSCI","91229","CSE"," 504","A","LEC",="01","M","06:05 PM","09:00 PM","23-AUG-2021","16-DEC-2021","  175","In Person","WEST","WESTCAMPUS","TBA",="TBA","Dongyoon Lee","A","     60","      0","     18","      0"," "," "," "," "
"COMPSCI","90815","CSE"," 505","A","LEC",="01","TUTH","08:00 AM","09:20 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","C Ramakrishnan","A","     70","      0","     15","      0"," "," "," "," "
"COMPSCI","95490","CSE"," 509","A","LEC",="01","TUTH","11:30 AM","12:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","R. Sekar","A","     80","      0","      0","      0"," "," "," "," "
"COMPSCI","95494","CSE"," 510","A","LEC",="01","MW","10:00 AM","11:20 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2120","Stanley Bak","A","     70","      0","      0","      0"," "," "," "," "
"COMPSCI","91418","CSE"," 512","A","LEC",="01","MW","04:25 PM","05:45 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Yifan Sun","A","    100","      0","     34","      0"," "," "," "," "
"COMPSCI","91498","CSE"," 518","A","LEC",="01","F","10:00 AM","12:50 PM","23-AUG-2021","16-DEC-2021","  170","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2311","Xiaojun Bi","A","     60","      0","     20","      0"," "," "," "," "
"COMPSCI","91197","CSE"," 519","A","LEC",="01","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","Online Synchronous","WEST","ONLINE","ONLINE",="TBA","Steven Skiena","A","    250","      0","     45","      0"," "," "," "," "
"COMPSCI","95550","CSE"," 519","A","LEC",="02","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","Online/In Person - Hybrid","WEST","WESTCAMPUS","TBA",="120","Steven Skiena","A","     30","      0","      0","      0"," "," "," "," "
